id,s_name,titles,price,selas,url
1,三星note8,Samsung/三星 GALAXY Note Edge Note8手机港行美版代购预售新品,4000.00,0,https://item.taobao.com/item.htm?id=557469124474&ns=1&abbucket=0&on_comment=1
2,三星note8,Samsung/三星 I9220 Galaxy Note 韩版代购Note8,4999.00,0,https://item.taobao.com/item.htm?id=557691015802&ns=1&abbucket=0&on_comment=1
3,三星note8,Samsung/三星 SM-N9200 Note8港版 美版全网通 4G手机 note8,3999.00,0,https://item.taobao.com/item.htm?id=557372199088&ns=1&abbucket=0&on_comment=1
4,三星note8,【预售】Samsung/三星 GALAXY Note 8新款手机国行S8三星note8,5999.00,0,https://item.taobao.com/item.htm?id=557695486383&ns=1&abbucket=0&on_comment=1
5,三星note8,三星note8手机 Samsung/三星 Galaxy note 5 SM-N9200 全新note 8,3888.00,0,https://item.taobao.com/item.htm?id=555778794201&ns=1&abbucket=0&on_comment=1
6,三星note8,Samsung/三星 GALAXY Note Edge Note8 港版美版全网通双摄像手机,4000.00,0,https://item.taobao.com/item.htm?id=557516509022&ns=1&abbucket=0&on_comment=1
7,三星note8,三星note8手机 Samsung/三星 Galaxy note 5 SM-N9200 全新note 8,3888.00,0,https://item.taobao.com/item.htm?id=557709469535&ns=1&abbucket=0&on_comment=1
8,三星note8,牛八note8韩国版原装全新手机非Samsung/三星 GALAXY note3 n9005,4799.00,0,https://item.taobao.com/item.htm?id=557508930981&ns=1&abbucket=0&on_comment=1
9,三星note8,Samsung/三星 galaxy note8 预售6G三星机皇国行首发Note8新款s8,6288.00,0,https://item.taobao.com/item.htm?id=557746305206&ns=1&abbucket=0&on_comment=1
10,三星note8,Samsung/三星 Galaxy note 5 SM-N9200 NOTE8正港预定 全国联保,1888.00,0,https://item.taobao.com/item.htm?id=557672404752&ns=1&abbucket=0&on_comment=1
11,三星note8,新款Samsung/三星 galaxy note8手机代购港行韩版美版现货note 8,3888.00,0,https://item.taobao.com/item.htm?id=557881451331&ns=1&abbucket=0&on_comment=1
12,三星note8,Samsung/三星 galaxy note8 港行代购 牛8 双卡全网通 防水手机,3888.00,0,https://item.taobao.com/item.htm?id=557823466150&ns=1&abbucket=0&on_comment=1
13,三星note8,Samsung/三星 galaxy note8 正品港行代购 全新note 8 双卡手机,3888.00,0,https://item.taobao.com/item.htm?id=557776969708&ns=1&abbucket=0&on_comment=1
14,三星note8,Samsung/三星 galaxy note8 牛8 双卡手机全网通港行代购送无线充,3888.00,0,https://item.taobao.com/item.htm?id=557888379160&ns=1&abbucket=0&on_comment=1
15,三星note8,Samsung/三星 galaxy note8 双卡note 8手机 全网通港行 送无线充,3998.00,0,https://item.taobao.com/item.htm?id=557692936780&ns=1&abbucket=0&on_comment=1
16,三星note8,Samsung/三星 galaxy note8 港行代购 牛8 双卡全网通 防水手机,3888.00,0,https://item.taobao.com/item.htm?id=557829206184&ns=1&abbucket=0&on_comment=1
17,三星note8,新品Samsung/三星 SM-J3300全网通4G指纹正品智能手机s8 note8,1299.00,0,https://detail.tmall.com/item.htm?id=557391334269&ns=1&abbucket=0&on_comment=1
